Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,Complexity,Story point estimate,Labels,Labels,Labels,Depends On,Description
Story,SPARK-PKG-D08,SPARK-PKG-D08 · cloneFilesForDielines,,Packaging → plm-product DGS migration,D,Medium,3,dgs-migration,packaging,mutation,SPARK-PKG-A04,"**Current Behaviour (M9):** token → `Promise.all(attachmentIds.map(id => (🔴 attachment) cloneAttachmentV3({cloneReferences}, id)))`, flatten. **EXT:** 🔴 attachment. **Target:** structured-concurrency fan-out. **Acceptance:** 1. clones each id with the shared `cloneReferences`. **Tests:** ☐ clone ☐ parity."
Story,SPARK-PKG-D09,SPARK-PKG-D09 · updatePackagingComponentStatus (no JWT — confirm),,Packaging → plm-product DGS migration,D,Low,2,dgs-migration,packaging,mutation,SPARK-PKG-A04,"**Current Behaviour (M10):** (own) `updatePackagingComponentStatus({productId, ids, status})`. **No JWT — confirm backend-enforced.** **Target:** `@DgsMutation → PackagingPagedForStatus`. **Acceptance:** 1. updates statuses. 2. no-token behaviour documented. **Tests:** ☐ update.

---

### Phase E — Complex Operations"
Story,SPARK-PKG-E01,"SPARK-PKG-E01 · updatePackaging (multi-step: body + attachment add/remove, non-atomic)",,Packaging → plm-product DGS migration,E,High,5,dgs-migration,packaging,mutation,SPARK-PKG-A04,"**As a** DGS engineer **I want** the multi-step packaging update with a failure strategy **so that** body and
attachment add/remove changes stay consistent.
**Current Behaviour (M2):** 1) token; set `humanId=packagingId`; `PUT packaging/v1` (body); 2) if
`attachmentsToRemove` → (🔴 attachment) `archiveAttachmentBulkV2` + (🟡 relationship) `removeRelationship`;
3) if `attachmentsToAdd` → (🟡 relationship) `addBulkRelationShip` (**reject on status≥400**) then
(🔴 attachment) `bulkUpdateAttributes`; 4) **throw on `validationErrors`/`message`**. No rollback.
**EXT:** 🔴 attachment · 🟡 relationship. **Target:** ordered steps + chosen failure strategy
(**PO decision**); **align** the add/remove error handling (the remove branch currently swallows errors).
**Acceptance:** 1. all branches in order. 2. add rejects on status≥400; remove error handling decided. 3. partial-failure strategy. **Tests:** ☐ body-only ☐ remove ☐ add ☐ status≥400 ☐ partial-failure ☐ parity.

---

### Phase F — Federation (internal)"
Story,SPARK-PKG-F01,"SPARK-PKG-F01 · Product packaging links (INTERNAL, same subgraph)",,Packaging → plm-product DGS migration,F,Low,2,dgs-migration,packaging,field-resolver,SPARK-PKG-A04,"**Current Behaviour:** Product references packaging (e.g. `components(...packaging)`, packaging attributes)
from the co-located packaging service. **Target:** **internal** `@DgsData` calling `PackagingService`
in-process (not gateway federation; depends only on the `Product`/`Component` types existing). **Acceptance:** 1. resolves in-process; no gateway hop. **Tests:** ☐ resolves ☐ parity.

---

### Phase G — Field Resolvers & Tests"
Story,SPARK-PKG-G01,SPARK-PKG-G01 · access + businessPartner + participantDetails,,Packaging → plm-product DGS migration,G,Medium,3,dgs-migration,packaging,field-resolver,"SPARK-PKG-A02, SPARK-PKG-A04","**Current Behaviour:** `access` → `accessControl.getPermissions([humanId])[0]` (context); `businessPartner`
→ (🔵 vmm) `loadBpsWithType([businessPartner])[0]`; `participantDetails` → `getUserGroup(humanId||id)`. **Acceptance:** 1. each resolves; null-safe. **Tests:** ☐ access ☐ bp ☐ participants."
Story,SPARK-PKG-G02,SPARK-PKG-G02 · createdBy + updatedBy + dielineEvaluators,,Packaging → plm-product DGS migration,G,Low,2,dgs-migration,packaging,field-resolver,SPARK-PKG-A04,"**Current Behaviour:** `createdBy`/`updatedBy` (🟡 user-profile `getUser`); `dielineEvaluators` → map
`userAttributes.getUserByID`, default `[]`. **Acceptance:** 1. each resolves; null id → null. **Tests:** ☐ users ☐ evaluators."
Story,SPARK-PKG-G03,SPARK-PKG-G03 · product + workspaces + attachments,,Packaging → plm-product DGS migration,G,Medium,3,dgs-migration,packaging,field-resolver,SPARK-PKG-A04,"**Current Behaviour:** `product` (internal, only if `parentId` starts `'PID'`); `workspaces`
→ (🔴 search) `getWorkspacesPagedV3({q:""id:(...)""})`.content; `attachments`
→ (🔴 search) `searchAttachmentsByRelatedResource(humanId)`. **Acceptance:** 1. `product` null when not `PID*`. 2. workspaces/attachments via elastic. **Tests:** ☐ product branch ☐ workspaces ☐ attachments."
Story,SPARK-PKG-G04,SPARK-PKG-G04 · suggestedRetailPriceByDPCI + waveDescription + retailPrice,,Packaging → plm-product DGS migration,G,High,5,dgs-migration,packaging,field-resolver,SPARK-PKG-A04,"**Current Behaviour:** `suggestedRetailPriceByDPCI` — gated on `requiresSuggestedRetailPrice` + a BP id:
collect printer ids from `packagingElements` → (own) `getDielines(printerIds)` → unique dpcis →
(🔵 apex/pricing) `getRetailPriceByDpci({dpcis, bpId, productId})`; else `[]`. `waveDescription`
→ (🟡 tag) `getTag(wave).name` if `wave`, else `waveDescription`. `retailPrice` → `0` (deprecated). **Target:** port the pricing chain; cache/batch dielines. **Acceptance:** 1. price chain matches source; gate honored. 2. wave tag fallback. 3. `retailPrice`→0. **Tests:** ☐ price chain ☐ gate ☐ wave ☐ retailPrice."
Story,SPARK-PKG-G05,SPARK-PKG-G05 · Dieline + PrinterDieline + PackagingElement field resolvers,,Packaging → plm-product DGS migration,G,Medium,3,dgs-migration,packaging,field-resolver,SPARK-PKG-A04,"**Current Behaviour:** `Dieline.evaluatedBy` (🟡 user-profile), `Dieline.attachments` (🔴 search),
`Dieline.attachment` (🔴 attachment `getAttachmentsV3([attachmentId])[0]`); `PrinterDieline.dielines`
(own `getDielines({printerIds, statusIds})`); `PackagingElement.packagingLibrary` (internal fileLibrary). **Acceptance:** 1. each field resolves to the right source. **Tests:** ☐ dieline fields ☐ printer dielines ☐ packagingLibrary."
Story,SPARK-PKG-G06,"SPARK-PKG-G06 · Tests, parity harness",,Packaging → plm-product DGS migration,G,Medium,3,dgs-migration,packaging,tests,"SPARK-PKG-B01, SPARK-PKG-E01, SPARK-PKG-G03, SPARK-PKG-G04","**Target:** ≥80% unit coverage; parity fixtures (incl. the multi-step `updatePackaging`, the pricing chain,
attachment-by-search fields, create/bulk error contracts); contract test (schema diff intentional-only,
incl. `@deprecated`). **Acceptance:** 1. unit ≥80%. 2. parity green. 3. schema-diff intentional. **Tests:** ☐ parity ☐ contract.

---

## 4. Risk Register
| Risk | Likelihood | Impact | Mitigation | Owner |
|------|-----------|--------|------------|-------|
| `updatePackaging` multi-step partial failure (E01) | Medium | High | Saga / compensation; align add/remove error handling | Tech Lead + PO |
| `suggestedRetailPriceByDPCI` multi-hop pricing (G04) | Medium | Medium | Cache/batch; honor the `requiresSuggestedRetailPrice` gate | Backend Eng |
| `updatePackagingComponentStatus` no auth token (D09) | Low | Medium | Confirm backend-enforced | PO |
| Attachment-by-search field perf (G03/G05) | Low | Medium | Shared helper; batch | Backend Eng |
| Claims pass-through on `PackagingInput` | Low | Low | Confirm ownership (packaging vs claims) | Architect |

## 5. Summary
- **Stories:** 28 (A:4 · B:6 · C:1 · D:9 · E:1 · F:1 · G:6).
- **Critical path:** A01→A02/A04→E01→G04→G06.
- **Highest risk:** `updatePackaging` (E01); `suggestedRetailPriceByDPCI` (G04).
- **Co-located:** packaging is in the `plm-product` monorepo; Product packaging links resolve internally.

---
**Phase Completed:** Phase 4 — Migration Stories · **Domain:** `packaging` · **Outputs:** 04-stories.md, 04-stories-index.yaml, 04-po-summary.md."
Epic,,ProductDetails → plm-product DGS migration,ProductDetails → plm-product DGS migration,,,,,dgs-migration,productDetails,epic,,Epic for the productDetails domain migration to the plm-product DGS.
Story,SPARK-PDTL-A01,SPARK-PDTL-A01 · Schema skeleton + DateTime scalar,,ProductDetails → plm-product DGS migration,A,Low,2,dgs-migration,productDetails,schema,,"**Current Behaviour:** green-field; schema translated from `code/schemas/SPARK_ProductDetail.txt`.
**Target:** federation v2.3 header, `scalar DateTime → Instant`, empty `extend type Query`/`Mutation`.
**Files:** `schema/productdetails.graphqls`, `config/ScalarConfig.kt`. **Deps:** none.
**Acceptance:** 1. `./gradlew generateJava` passes. 2. `DateTime` round-trips. **Tests:** ☐ compiles ☐ scalar serde."
Story,SPARK-PDTL-A02,SPARK-PDTL-A02 · Owned types + inputs,,ProductDetails → plm-product DGS migration,A,Medium,3,dgs-migration,productDetails,schema,SPARK-PDTL-A01,"**Target:** `ProductDetails` (`@key(fields:""id"")`), `ProductDetailsItem`, `ProductDetailsCategoryWithSection`,
`ProductDetailsPaged`, the 8 inputs, `@shareable CodeDescription` — per [03-schema.graphql](./03-schema.graphql).
**Note:** `workspaceContext` is `[String]` on create but `PartialWorkspaceAssociationsInput` on update (preserve).
**Deps:** A01. **Acceptance:** 1. all types+inputs present; nullability matches SDL. 2. schema validates. **Tests:** ☐ validates ☐ entity stub."
Story,SPARK-PDTL-A03,SPARK-PDTL-A03 · External stubs (platform + sibling DGS),,ProductDetails → plm-product DGS migration,A,Low,2,dgs-migration,productDetails,schema,SPARK-PDTL-A01,"**Target:** stubs `Attachment`, `WorkspaceV2`, `UserProfileAttributes`, `UserGroup_Participants`,
`AccessControl`, `ResourcePermissions`, `VMM_BusinessPartner` + internal placeholders `Product`,
`ProductComponentStatus`, `VersionableId`. **Deps:** A01. **Acceptance:** 1. compiles; gateway composes. **Tests:** ☐ compiles ☐ stub resolves."
Story,SPARK-PDTL-A04,SPARK-PDTL-A04 · ProductDetailsService port (construction/v1),,ProductDetails → plm-product DGS migration,A,Medium,3,dgs-migration,productDetails,service,SPARK-PDTL-A01,"**Current Behaviour (Phase 2 §Service):** 9 REST methods on `construction/v1` (2 unused: versions).
**Target:** Kotlin service; snake/camel at the Feign boundary; preserve the create error-contract
(throw on `validationErrors`/`message`) and the `{content}` wrap on component-status.
**Deps:** A01. **Acceptance:** 1. used methods present (GET ?ids, POST, PUT /{id}, /manage-permissions, /{id}/{lock|unlock}, /component_status_update, /{id}/workspace_associations). 2. create throws on validation error. **Tests:** ☐ endpoint build ☐ create error ☐ status wrap.

---

### Phase B — Core Reads"
Story,SPARK-PDTL-B01,SPARK-PDTL-B01 · getProductDetailsById,,ProductDetails → plm-product DGS migration,B,Low,2,dgs-migration,productDetails,query,"SPARK-PDTL-A02, SPARK-PDTL-A04","**Current Behaviour (Q1):** (ACL context) token for `ids` → `GET construction/v1?ids={csv}` → camelCase list.
**Target:** `@DgsQuery getProductDetailsById(ids): [ProductDetails]`. **Acceptance:** 1. returns list for ids; empty → []. **Tests:** ☐ happy ☐ empty ☐ integration.

---

### Phase C — Search & Listing"
Story,SPARK-PDTL-C01,SPARK-PDTL-C01 · getProductDetailsElastic,,ProductDetails → plm-product DGS migration,C,Medium,3,dgs-migration,productDetails,query,SPARK-PDTL-A04,"**Current Behaviour (Q2):** (🔴 search) `search.getProductDetailsElastic.load({ q:""parentId: {resourceId}"" })` → paged.
**EXT:** 🔴 search. **Target:** `@DgsQuery → ProductDetailsPaged`. **Note:** the source resolver reads a `types` arg not in the SDL — drop (or add to schema) per [03-analysis §2](./03-schema-analysis.md).
**Acceptance:** 1. `parentId:` elastic query built. 2. paged shape returned. **Tests:** ☐ query build ☐ parity.

---

### Phase D — Mutations (simple)"
Story,SPARK-PDTL-D01,SPARK-PDTL-D01 · createProductDetailsSet (throws on validationErrors),,ProductDetails → plm-product DGS migration,D,Medium,3,dgs-migration,productDetails,mutation,SPARK-PDTL-A04,**Current Behaviour (M1):** (ACL context) token for literal capability → `POST construction/v1` (snake_case). **If response has `validationErrors` or `message` → throw.** **Target:** `@DgsMutation`; port the throw-on-error contract. **Acceptance:** 1. creates set. 2. validation error → exception (not a partial object). **Tests:** ☐ create ☐ validation-error→throw.
Story,SPARK-PDTL-D02,SPARK-PDTL-D02 · updateProductDetailAccess,,ProductDetails → plm-product DGS migration,D,Low,2,dgs-migration,productDetails,mutation,SPARK-PDTL-A04,**Current Behaviour (M2):** map `managePermissionsRequest[].resourceId` → token → `PUT construction/v1/manage-permissions` (`primeKey=humanId`). **Target:** `@DgsMutation → [ProductDetails]`. **Acceptance:** 1. updates partner access for each resource. **Tests:** ☐ update ☐ integration.
Story,SPARK-PDTL-D03,SPARK-PDTL-D03 · productDetailLockUnlock,,ProductDetails → plm-product DGS migration,D,Low,2,dgs-migration,productDetails,mutation,SPARK-PDTL-A04,"**Current Behaviour (M3):** token for `[constructionSetId]` → `PUT construction/v1/{id}/{lock|unlock}`. **Target:** `@DgsMutation`. **Acceptance:** 1. `isLock=true`→lock path, false→unlock path. **Tests:** ☐ lock ☐ unlock."
Story,SPARK-PDTL-D04,SPARK-PDTL-D04 · cloneFilesForProductDetails,,ProductDetails → plm-product DGS migration,D,Medium,3,dgs-migration,productDetails,mutation,SPARK-PDTL-A04,"**Current Behaviour (M5):** token → `Promise.all(attachmentIds.map((id,i) => (🔴 attachment) cloneAttachmentV3({cloneReferences:[cloneReference[i]]}, id)))`, stamp `parentResource=id`, flatten. No rollback. **EXT:** 🔴 attachment. **Target:** structured-concurrency fan-out via `AttachmentClient`. **Acceptance:** 1. clones each id with its paired cloneReference. 2. `parentResource` stamped. **Tests:** ☐ clone ☐ pairing ☐ parity."
Story,SPARK-PDTL-D05,SPARK-PDTL-D05 · updateProductDetailComponentStatus (no JWT — confirm),,ProductDetails → plm-product DGS migration,D,Low,2,dgs-migration,productDetails,mutation,SPARK-PDTL-A04,"**Current Behaviour (M6):** `PUT construction/v1/component_status_update`; wraps result as `{content}`. **No JWT — confirm backend-enforced.** **Target:** `@DgsMutation → ProductDetailsPaged`. **Acceptance:** 1. updates statuses; result wrapped as `{content}`. 2. no-token behaviour documented. **Tests:** ☐ update ☐ wrap.

---

### Phase E — Complex Operations"
Story,SPARK-PDTL-E01,"SPARK-PDTL-E01 · updateProductDetailsSet (multi-step, non-atomic)",,ProductDetails → plm-product DGS migration,E,High,5,dgs-migration,productDetails,mutation,SPARK-PDTL-A04,"**As a** DGS engineer **I want** the multi-step product-details update with a failure strategy **so that**
workspace, attachment, and body changes stay consistent.
**Current Behaviour (M4):** 1) if `workspaceContext.{add,remove}Workspaces` non-empty →
`workspaceAssociationHelper(PRODUCT_DETAIL, id, add, remove)` (throws on error); 2) null `workspaceContext`;
3) if `deleteAttachmentIds` → (🔴 attachment) `archiveAttachmentBulkV3` (separate ACL token);
4) `PUT construction/v1/{id}`. **No rollback across steps.**
**EXT:** 🔴 attachment · 🟡 workspaceV2. **Target:** ordered steps with a chosen failure strategy
(**PO decision** saga / compensation log / best-effort). **Acceptance:** 1. all 4 steps in order. 2. partial-failure strategy implemented. 3. workspace assoc throws propagate. **Tests:** ☐ full path ☐ workspace-only ☐ attachment-archive ☐ partial-failure ☐ parity.

---

### Phase F — Federation (internal)"
Story,SPARK-PDTL-F01,"SPARK-PDTL-F01 · Product.productDetails (INTERNAL, same subgraph)",,ProductDetails → plm-product DGS migration,F,Low,2,dgs-migration,productDetails,field-resolver,SPARK-PDTL-A04,"**Current Behaviour:** Product exposes `productDetails` resolved from the co-located ProductDetails service. **Target:** **internal** `@DgsData` on `Product` calling `ProductDetailsService` in-process (not gateway federation; depends only on the `Product` type existing). **Acceptance:** 1. `Product.productDetails` resolves in-process; no gateway hop. **Tests:** ☐ resolves ☐ parity.

---

### Phase G — Field Resolvers & Tests"
Story,SPARK-PDTL-G01,SPARK-PDTL-G01 · access + currentUserPermissions + participantDetails,,ProductDetails → plm-product DGS migration,G,Medium,3,dgs-migration,productDetails,field-resolver,"SPARK-PDTL-A02, SPARK-PDTL-A04","**Current Behaviour:** `access` → `accessControl.getPermissions([humanId||id])[0]`; `currentUserPermissions`
→ `getUserAccessUnencoded(humanId||id)[0]`; `participantDetails` → `getUserGroup(humanId)`. (ACL context.) **Target:** thin `@DgsData`; ACL is context-only. **Acceptance:** 1. each field resolves; null-safe on empty. **Tests:** ☐ access ☐ perms ☐ participants."
Story,SPARK-PDTL-G02,SPARK-PDTL-G02 · product + createdBy + updatedBy + businessPartners + workspaces,,ProductDetails → plm-product DGS migration,G,Medium,3,dgs-migration,productDetails,field-resolver,SPARK-PDTL-A04,"**Current Behaviour:** `product` (internal, only if `parentId` starts `'PID'`), `createdBy`/`updatedBy`
(🟡 user-profile), `businessPartners` (🔵 vmm `loadBpsWithType`), `workspaces` (🟡 workspaceV2 by ids). **Target:** internal + federated references. **Acceptance:** 1. each resolves; `product` null when `parentId` not `PID*`. 2. null id → null user. **Tests:** ☐ product branch ☐ users ☐ partners ☐ workspaces."
Story,SPARK-PDTL-G03,SPARK-PDTL-G03 · attachment + item attachments + category subCategories,,ProductDetails → plm-product DGS migration,G,Medium,3,dgs-migration,productDetails,field-resolver,SPARK-PDTL-A04,"**Current Behaviour:** `ProductDetails.attachment` → (🔴 search) `searchAttachments([humanId||id])`, find
`relatedResources.length<=2`; `ProductDetailsItem.attachment` → `searchAttachments([templateId])[0]||{}`;
`constructionSetAttachments` → `searchAttachments([id]).content||[]`; `CategoryWithSection.subCategories`
→ (internal `specificationsTemplate`) `getProductDetailsCategorySection()` find by `code`. **Target:** shared search helper + internal master-data call. **Acceptance:** 1. each field resolves to the right source. 2. `attachment` length-≤2 filter preserved. **Tests:** ☐ set attachment ☐ item attachments ☐ subCategories."
Story,SPARK-PDTL-G04,"SPARK-PDTL-G04 · Tests, parity harness",,ProductDetails → plm-product DGS migration,G,Medium,3,dgs-migration,productDetails,tests,"SPARK-PDTL-B01, SPARK-PDTL-E01, SPARK-PDTL-G01","**Target:** ≥80% unit coverage; parity fixtures (incl. the multi-step `updateProductDetailsSet`, the
create error-contract, attachment-by-search fields); contract test (schema diff intentional-only). **Acceptance:** 1. unit ≥80%. 2. parity fixtures green. 3. schema-diff intentional-only. **Tests:** ☐ parity ☐ contract.

---

## 4. Risk Register
| Risk | Likelihood | Impact | Mitigation | Owner |
|------|-----------|--------|------------|-------|
| `updateProductDetailsSet` multi-step partial failure (E01) | Medium | High | Saga / compensation — PO decision | Tech Lead + PO |
| `updateProductDetailComponentStatus` no auth token (D05) | Low | Medium | Confirm backend-enforced | PO |
| Attachment-by-search field perf (G03) | Low | Medium | Shared helper; batch | Backend Eng |
| `getProductDetailsElastic.types` schema drift (C01) | Low | Low | Drop or add to schema | Backend Eng |

## 5. Summary
- **Stories:** 17 (A:4 · B:1 · C:1 · D:5 · E:1 · F:1 · G:4).
- **Critical path:** A01→A02/A04→E01→G01→G04.
- **Highest risk:** `updateProductDetailsSet` (E01).
- **Co-located:** productDetails is in the `plm-product` monorepo; `Product.productDetails` resolves internally.

---
**Phase Completed:** Phase 4 — Migration Stories · **Domain:** `productDetails` · **Outputs:** 04-stories.md, 04-stories-index.yaml, 04-po-summary.md."
